rank	arabic_lemma	transliteration	english_core_gloss	part_of_speech	canonical_form_rule_used	root_if_relevant	estimated_frequency_tier	dispersion_score	usefulness_score	register_label	keep_reason	merged_forms_or_variants	notes
165	أَطْلَق	>aTolaq	Shoot.	verb	verb: 3ms past lemma	طلق	T1	0.333	10.72	media	high_frequency + dispersion	أطلق; أطلقت; أطلقته; أطلقتها; أطلقه ...	
166	عَدَم	Eadam	No.	noun	noun: singular lemma	عدم	T1	0.333	10.717	media	high_frequency + dispersion	بعدم; عدم; عدمه; عدمها; لعدم ...	
167	أَلْف	>alof	A thousand.	noun	noun: singular lemma		T1	0.333	10.696	media	high_frequency + dispersion	آلاف; ألاف; ألف; ألفا; ألفاً ...	
168	ٱِتِّحاد	{it~iHAd	Union	noun	noun: singular lemma		T1	0.333	10.692	media	high_frequency + dispersion	إتحاد; اتحاد; اتحادات; اتحادي; اتحادية ...	
169	مَشْرُوع	ma$oruwE	Legitimated	noun	noun: singular lemma	شرع	T1	0.333	10.688	media	high_frequency + dispersion	المشاريع; المشروع; المشروعات; المشروعة; المشروعين ...	
170	حاوَل	HAwal	Try.	verb	verb: 3ms past lemma		T1	0.333	10.687	media	high_frequency + dispersion	أحاول; تحاول; حاول; حاولت; حاولنا ...	
171	دَوْلِيّ	dawoliy~	My puppy.	adj	adj: masc singular lemma		T1	0.333	10.685	media	high_frequency + dispersion	الدولى; الدولي; الدولية; الدوليون; الدوليين ...	
172	عَقْد	Eaqod	Contract	noun	noun: singular lemma	عقد	T1	0.333	10.682	media	high_frequency + dispersion	العقد; العقدين; العقود; بعقد; بعقود ...	
173	شارَك	$Arak	Shrek.	verb	verb: 3ms past lemma	شرك	T1	0.333	10.67	media	high_frequency + dispersion	تشارك; ستشارك; سيشارك; سيشاركون; شارك ...	
174	شَخْص	$axoS	Someone.	noun	noun: singular lemma	شخص	T1	0.333	10.67	media	high_frequency + dispersion	أشخاص; أشخاصا; اشخاص; اشخاصا; الأشخاص ...	
175	أَكْثَر	>akovar	More.	adj	adj: masc singular lemma	كثر	T1	0.333	10.656	media	high_frequency + dispersion	أكثر; أكثرها; أكثرهم; اكثر; الأكثر ...	
176	دَوْر	dawor	Turn around.	noun	noun: singular lemma		T1	0.333	10.645	media	high_frequency + dispersion	أدوار; ادوار; الأدوار; الادوار; الدور ...	
177	تَوَقَّع	tawaq~aE	Sign.	verb	verb: 3ms past lemma		T1	0.333	10.644	media	high_frequency + dispersion	أتوقع; اتوقع; التوقع; التوقعات; تتوقع ...	
178	كَبِير	kabiyr	Big.	adj	adj: masc singular lemma	كبر	T1	0.333	10.638	media	high_frequency + dispersion	الكبار; الكبير; الكبيرة; الكبيرين; بكبار ...	
179	إِسْرائِيلِيّ	<isorA}iyliy~	Israel	adj	adj: masc singular lemma		T1	0.333	10.637	media	high_frequency + dispersion	إسرائيلي; إسرائيليا; إسرائيلياً; إسرائيلية; إسرائيليون ...	
180	أَخَذ	>axa*	Here.	verb	verb: 3ms past lemma		T1	0.333	10.633	media	high_frequency + dispersion	آخذ; آخذة; أخذ; أخذت; أخذنا ...	
181	ضِدّ	Did~	Against	noun	noun: singular lemma	ضدد	T1	0.333	10.625	media	high_frequency + dispersion	الضد; بالضد; ضد; ضدنا; ضده ...	
182	آخَر	|xar	Another.	adj	adj: masc singular lemma		T1	0.333	10.624	media	high_frequency + dispersion	آخر; آخران; آخره; آخرها; آخرون ...	
183	لُبْنان	lubonAn	Bunny.	noun_prop	noun: singular lemma		T1	0.333	10.615	media	high_frequency + dispersion	بلبنان; فلبنان; لبنان; للبنان; ولبنان	
184	أَفاد	>afAd	I'm saying...	verb	verb: 3ms past lemma		T1	0.333	10.608	media	high_frequency + dispersion	أفاد; أفادت; إفادة; افاد; افادت ...	
185	أَجْرَى	>ajoraY	Run!	verb	verb: 3ms past lemma		T1	0.333	10.604	media	high_frequency + dispersion	أجراه; أجراها; أجرت; أجرته; أجرتها ...	
186	إِدارَة	<idArap	Management	noun	noun: singular lemma		T1	0.333	10.604	media	high_frequency + dispersion	أدارة; إدارات; إدارة; إدارته; إدارتها ...	
187	حِين	Hiyn	When...	noun	noun: singular lemma		T1	0.333	10.603	media	high_frequency + dispersion	أحيان; أحيانا; أحياناً; احيانا; الأحيان ...	
188	عاش	EA$	Long live.	verb	verb: 3ms past lemma		T1	0.333	10.601	media	high_frequency + dispersion	أعيش; تعيش; تعيشان; تعيشه; تعيشها ...	
189	قِطاع	qiTAE	Castle.	noun	noun: singular lemma	قطع	T1	0.333	10.6	media	high_frequency + dispersion	القطاع; القطاعات; القطاعين; بالقطاع; بقطاع ...	
190	تَحْقِيق	taHoqiyq	Check.	noun	noun: singular lemma	حقق	T1	0.333	10.594	media	high_frequency + dispersion	التحقيق; التحقيقات; بالتحقيق; بتحقيق; تحقيق ...	
191	سَلام	salAm	Peace.	noun	noun: singular lemma	سلم	T1	0.333	10.591	media	high_frequency + dispersion	السلام; بالسلام; بسلام; سلام; سلاما ...	
192	رُوسِيّ	ruwsiy~	Russi.	adj	adj: masc singular lemma		T1	0.333	10.583	media	high_frequency + dispersion	الروس; الروسى; الروسي; الروسية; الروسيتين ...	
193	لَن	lan	I won't.	part_neg	particle/base		T1	0.333	10.58	media	high_frequency + dispersion	فلن; لن; ولن	
194	أَرْض	>aroD	Satisfied.	noun	noun: singular lemma		T1	0.333	10.575	media	high_frequency + dispersion	أراض; أراضي; أراضيه; أراضيها; أراضيهم ...	
195	رَجُل	rajul	Man.	noun	noun: singular lemma	رجل	T1	0.333	10.572	media	high_frequency + dispersion	الرجال; الرجل; الرجلان; الرجلين; بالرجال ...	
196	نَقْل	naqol	Move.	noun	noun: singular lemma	نقل	T1	0.333	10.567	media	high_frequency + dispersion	النقل; بنقل; تنقل; تنقله; ستنقل ...	
197	نَحْو	naHow	We're... we're... we're... we	noun	noun: singular lemma		T1	0.333	10.564	media	high_frequency + dispersion	أنحاء; النحو; انحاء; بنحو; لنحو ...	
198	حَلّ	Hal~	Solve.	noun	noun: singular lemma	حلل	T1	0.333	10.562	media	high_frequency + dispersion	الحل; الحلول; الحلّ; بالحل; بحل ...	
199	مُؤْتَمَر	mu&otamar	It's done.	noun	noun: singular lemma		T1	0.333	10.559	media	high_frequency + dispersion	المؤتمر; المؤتمرات; المؤتمرون; المؤتمرين; بالمؤتمر ...	
200	نِسْبَة	nisobap	A Centipede.	noun	noun: singular lemma	نسب	T1	0.333	10.558	media	high_frequency + dispersion	النسب; النسبة; بالنسبة; بالنسبه; بنسب ...	
