lemma,variant,reason
سَعَى,سعى,same lemma
سَنَة,سنين,same lemma
غالِب,غالباً,same lemma
قَبِيلَة,قبائل,same lemma
قِتال,قتال,same lemma
مُتَطَرِّف,متطرفة,same lemma
تابِع,يتابع,same lemma
ٱِجْتِماعِيّ,اجتماعي,same lemma
ٱِسْتَبْعَد,استبعد,same lemma
دِيوان,الديوان,same lemma
رَصاص,بالرصاص,same lemma
عِدَّة,بعدة,same lemma
غارَة,غارات,same lemma
فَرْع,فروع,same lemma
فَلْسَفَة,فلسفة,same lemma
فِي,فيهما,same lemma
غاز,للغاز,same lemma
مَسْعَى,مساعي,same lemma
مَع,ومعه,same lemma
ٱِزْداد,ازدادت,same lemma
إِطار,الاطار,same lemma
تَغْطِيَة,التغطية,same lemma
تَمْيِيز,تمييز,same lemma
تَوَجَّه,توجهات,same lemma
شَنّ,شنتها,same lemma
مِساحَة,مساحات,same lemma
مُغادَرَة,مغادرته,same lemma
بَلَغ,وتبلغ,same lemma
تَعَهَّد,وتعهد,same lemma
وِزارَة,وزارات,same lemma
قال,وقالوا,same lemma
أَبْدَى,أبدت,same lemma
أَيّ,أيا,same lemma
إِيجابِيّ,الإيجابي,same lemma
أَسِير,الاسرى,same lemma
بِنْت,البنات,same lemma
ثُلْث,الثلث,same lemma
جَيِّد,الجيدة,same lemma
سِياسِيّ,السياسيون,same lemma
مَصِير,المصير,same lemma
إِيرانِيّ,ايرانية,same lemma
حارِس,حراس,same lemma
سَنَوِيّ,سنوياً,same lemma
فَساد,والفساد,same lemma
لِيبِيا,وليبيا,same lemma
شَكْل,ويشكل,same lemma
أَصاب,أصاب,same lemma
أَساس,اسس,same lemma
حادّ,الحاد,same lemma
كافِي,الكافي,same lemma
وَسِيلَة,الوسيلة,same lemma
حِفْظ,تحفظ,same lemma
تَقارُب,تقارب,same lemma
عَمَلِيّ,عملي,same lemma
سُورِيا,لسورية,same lemma
مُجْتَمَع,مجتمعات,same lemma
مُناقَشَة,مناقشات,same lemma
واصَل,واصلت,same lemma
إِنْتاج,إنتاجها,same lemma
ٱِكْتَشَف,اكتشفت,same lemma
راتِب,الرواتب,same lemma
مُسَلَّح,المسلحون,same lemma
سِرِّيّ,سري,same lemma
كامِل,كاملا,same lemma
مَحَلِّيّ,محلي,same lemma
حَياة,والحياة,same lemma
كان,وكانوا,same lemma
أَوْضَح,أوضحت,same lemma
مُعادِي,المعادية,same lemma
ٱِعْتِقال,باعتقال,same lemma
وُقُوف,بالوقوف,same lemma
تَغَيَّر,تغيرت,same lemma
رَئِيس,رئيسها,same lemma
عِلْم,علوم,same lemma
وَصَل,لتصل,same lemma
نُخْبَة,نخبة,same lemma
أَنَّ,وأنهم,same lemma
بَلَغ,وبلغت,same lemma
لٰكِنَّ,ولكني,same lemma
سَجَّل,يسجل,same lemma
أَحَد,أحداً,same lemma
ٱِشْتِراكِيّ,الإشتراكية,same lemma
مَصْنَع,المصنع,same lemma
نَفْطِيّ,النفطي,same lemma
حُكُومَة,بالحكومة,same lemma
بَيْت,بيوت,same lemma
تامّ,تامة,same lemma
كَفَى,تكفي,same lemma
خَلِيجِيّ,خليجية,same lemma
شَمِل,شمل,same lemma
عُنْصُر,عناصرها,same lemma
إِرْهاب,للإرهاب,same lemma
مَلْمُوس,ملموس,same lemma
أَدَّى,وأدى,same lemma
وَجْه,وجوه,same lemma
أَصَرّ,يصر,same lemma
ٱِحْتِجاج,احتجاج,same lemma
تَنْفِيذ,تنفيذه,same lemma
حُجَّة,حجة,same lemma
خاصّ,خاصا,same lemma
شاشَة,شاشات,same lemma
طَيَران,طيران,same lemma
كان,كأن,same lemma
سَيّارَة,للسيارات,same lemma
طالَب,نطالب,same lemma
ٱِسْتِمْرار,واستمرار,same lemma
ٱِعْتَقَد,واعتقد,same lemma
وِفْقَ,ووفق,same lemma
آب,أبا,same lemma
أَجْرَى,أجرته,same lemma
أَساس,أساسا,same lemma
آيَة,إيه,same lemma
ٱِحْتِفال,الاحتفالات,same lemma
ٱِسْتِعْداد,الاستعدادات,same lemma
قاعَة,القاعة,same lemma
كافِي,الكافية,same lemma
نِيَّة,النوايا,same lemma
واسِع,الواسع,same lemma
تَظاهُرَة,تظاهرات,same lemma
عَمَلِيَّة,عملياتها,same lemma
فِكْرِيّ,فكرية,same lemma
قَدْ,فلقد,same lemma
ٱِسْتِخْدام,لاستخدام,same lemma
أَخِير,وأخيراً,same lemma
دَلِيل,والدليل,same lemma
تَحَرُّك,يتحرك,same lemma
أَسْيا,اسيا,same lemma
أَغْلَبِيَّة,الاغلبية,same lemma
نِظام,الانظمة,same lemma
تَنازُل,التنازل,same lemma
مُناسَبَة,المناسبات,same lemma
قَبِيلَة,قبيلة,same lemma
حُكْم,للحكم,same lemma
نَظَر,نظري,same lemma
أَضاف,يضيف,same lemma
أَصْدَر,اصدرت,same lemma
إِعْداد,الإعداد,same lemma
تَعادَل,التعادل,same lemma
صَغِير,الصغار,same lemma
إِرْسال,بإرسال,same lemma
وَصَف,بوصفه,same lemma
تَرْكِيز,تركيز,same lemma
ضِدّ,ضدهم,same lemma
عَسْكَرِيّ,عسكريين,same lemma
فَتْوَى,فتوى,same lemma
مُجْتَمَع,مجتمعاتنا,same lemma
نَصّ,نصوص,same lemma
بَدَأ,وبدا,same lemma
حَمَل,وتحمل,same lemma
سَجَّل,وسجل,same lemma
وَعَد,ووعد,same lemma
راوَنْد,يراه,same lemma
إِصابَة,إصابات,same lemma
إِسْرائِيلِيّ,اسرائيليين,same lemma
سِتار,الستار,same lemma
صَلاحِيَّة,الصلاحيات,same lemma
مُسْتَهْلِك,المستهلكين,same lemma
شِراء,بشراء,same lemma
تَرْبِيَة,تربية,same lemma
ساحِل,ساحل,same lemma
سِياسِيّ,سياسيين,same lemma
عَرَض,عرضها,same lemma
عُمُوم,عموماً,same lemma
عَمِيق,عميق,same lemma
أَنَّ,لانهم,same lemma
مُواطِن,للمواطن,same lemma
إِسْلامِيّ,والإسلامي,same lemma
ٱِتَّصَل,يتصل,same lemma
حِزْب,احزاب,same lemma
مُتَواصِل,المتواصل,same lemma
مَعْنِيّ,المعنيين,same lemma
سَجِين,سجناء,same lemma
طَلَب,طلبة,same lemma
فَراغ,فراغ,same lemma
دُخُول,للدخول,same lemma
مِحْوَر,محاور,same lemma
ٱِتِّخاذ,واتخاذ,same lemma
قَضِيَّة,والقضايا,same lemma
قَطْع,وقطع,same lemma
رَغِب,يرغبون,same lemma
تَعامُل,التعاملات,same lemma
فَضْل,الفضل,same lemma
فَقِيه,الفقهاء,same lemma
ٱِنْتِقاد,انتقاد,same lemma
سُنِّيّ,سنية,same lemma
سَبَب,لاسباب,same lemma
مُوَضِّح,موضحة,same lemma
نِهائِيّ,نهائية,same lemma
إِلّا,وألا,same lemma
صِحَّة,والصحة,same lemma
وَحِيد,وحيد,same lemma
إِعْلامِيّ,اعلامية,same lemma
جُزُر,الجزر,same lemma
حارِس,الحارس,same lemma
مُتَمَرِّد,المتمردون,same lemma
مُقاتِل,المقاتلة,same lemma
نُخْبَة,النخب,same lemma
تَصَرُّف,تصرفات,same lemma
زِيارَة,زيارتها,same lemma
كُرْدِيّ,كردية,same lemma
قِيام,لقيام,same lemma
شَيْخ,والشيخ,same lemma
أَمْن,آمنة,same lemma
آيَة,آيات,same lemma
ٱِتِّحاد,بالاتحاد,same lemma
بَدَأ,سيبدأ,same lemma
مُرَشَّح,مرشحا,same lemma
نَشاط,نشاطها,same lemma
هامّ,هام,same lemma
دَوْلِيّ,والدولي,same lemma
عَمَلِيَّة,وعمليات,same lemma
قَدَّم,وقدمت,same lemma
سَهْل,يسهل,same lemma
حُقْب,الحقبة,same lemma
رَئِيس,الرئيسان,same lemma
سِفارَة,السفارات,same lemma
ضَرْبَة,الضربة,same lemma
شَرْط,شرطي,same lemma
صارُوخ,صاروخا,same lemma
فَرَنْسِيّ,فرنسي,same lemma
سُلْطَة,للسلطات,same lemma
لَوْن,لون,same lemma
ٱِنْتَهَى,وانتهت,same lemma
قَضِيَّة,وقضايا,same lemma
فاز,يفوز,same lemma
أَحَد,أحدا,same lemma
أَمارَة,إمارة,same lemma
تَحَقَّق,التحقق,same lemma
تَواجُد,التواجد,same lemma
خَطِير,الخطير,same lemma
عُمْلَة,العملات,same lemma
مُتَوَسِّط,المتوسطة,same lemma
إِلَى,اليهم,same lemma
ثَقافِيّ,ثقافي,same lemma
قَصْف,قصفت,same lemma
قِطاع,للقطاع,same lemma
وَصَل,نصل,same lemma
ٱِتَّهَم,واتهمت,same lemma
إِخْوَة,الاخوة,same lemma
بُطُولَة,البطولات,same lemma
شَعْب,الشعبين,same lemma
مَزِيد,بمزيد,same lemma
مَقْتَل,بمقتل,same lemma
حَلّ,حلت,same lemma
حَلْقَة,حلقات,same lemma
ساعَة,ساعتين,same lemma
ضَرْبَة,ضربات,same lemma
فَرِيق,لفريق,same lemma
تَشْجِيع,وتشجيع,same lemma
أَضاف,اضاف,same lemma
باب,الأبواب,same lemma
إِيجابِيّ,الايجابية,same lemma
رُكْن,الركن,same lemma
مُفاعِل,المفاعل,same lemma
أَيّ,اى,same lemma
طَرِيق,بطرق,same lemma
جامِعَة,جامعات,same lemma
رَسْم,رسوم,same lemma
قَمْع,قمع,same lemma
كَلام,كلامه,same lemma
مَلْبَس,ملابس,same lemma
فَتْوَى,الفتاوى,same lemma
أَعْلَى,عليا,same lemma
مُطالَبَة,للمطالبة,same lemma
مَشْرُوع,مشروعا,same lemma
مَكان,مكانها,same lemma
أَدْرَك,ندرك,same lemma
نَشْر,نشره,same lemma
هَيْمَنَة,هيمنة,same lemma
فَضْل,يفضل,same lemma
أَرْض,اراضي,same lemma
آخَر,الآخرون,same lemma
ٱِرْتِباط,الارتباط,same lemma
بَثّ,البث,same lemma
تَشْغِيل,التشغيل,same lemma
سَبْع,السبعة,same lemma
ٱِمْتَدّ,امتدت,same lemma
ٱِنْتَقَل,انتقلت,same lemma
دُكْتُور,دكتور,same lemma
شِيعِيّ,شيعي,same lemma
جَمْعِيَّة,للجمعية,same lemma
راوَنْد,نراه,same lemma
نَقْل,وتنقل,same lemma
ٱِحْتَلّ,احتلت,same lemma
خُبَر,الاخبار,same lemma
إِطْلاق,الاطلاق,same lemma
جَبَل,الجبل,same lemma
سِكْرِتِير,السكرتير,same lemma
أَمْر,امرا,same lemma
جَهْد,بجهود,same lemma
بِنْت,بنات,same lemma
زِراعَة,زراعة,same lemma
ٱِسْتِفادَة,والاستفادة,same lemma
مادَّة,والمواد,same lemma
ٱِنْتَقَل,ينتقل,same lemma
ٱِفْتِتاح,الافتتاحية,same lemma
تَوَجَّه,التوجهات,same lemma
تَوْقِيت,التوقيت,same lemma
يَد,ايدي,same lemma
تَحْقِيق,تحقيقات,same lemma
رَبّ,ربه,same lemma
قُرْصان,قراصنة,same lemma
سَحْب,لسحب,same lemma
مَقال,مقالا,same lemma
مِنْطَقَة,ومنطقة,same lemma
مُواجَهَة,ومواجهة,same lemma
يَهُودِيّ,يهودي,same lemma
ٱِنْتِحارِيّ,الانتحاري,same lemma
بَعِيد,البعيدة,same lemma
رَبْط,الربط,same lemma
عاصِمَة,العواصم,same lemma
كَنَدِيّ,الكندي,same lemma
أَحَد,بأحد,same lemma
تَلَقَّى,لتلقي,same lemma
نِيل,لنيل,same lemma
هَيْئَة,هيئات,same lemma
ضِفَّة,والضفة,same lemma
مُوجِب,وبموجب,same lemma
خَلْق,وخلق,same lemma
عُنْصُر,وعناصر,same lemma
مُسْتَقْبَل,ومستقبل,same lemma
أَشاد,أشاد,same lemma
تَقْدِير,التقدير,same lemma
مُؤامَرَة,المؤامرة,same lemma
نَقْص,النقص,same lemma
طَوِيل,طويلاً,same lemma
فَرِيد,فريدة,same lemma
مُبادَرَة,مبادرات,same lemma
طَلَب,وطلبت,same lemma
قائِد,وقادة,same lemma
قُوَّة,وقوى,same lemma
هَدَف,ويهدف,same lemma
ٱِتَّفَق,اتفقا,same lemma
أَدْلَى,ادلى,same lemma
أَقَلِّيَّة,الأقلية,same lemma
غَد,الغد,same lemma
مَصْرِف,المصرف,same lemma
ناخِب,الناخب,same lemma
مُوافَقَة,بموافقة,same lemma
سَهْل,سهلة,same lemma
تَجَنُّب,لتجنب,same lemma
مَشْرُوع,للمشروع,same lemma
مِرْوَحِيَّة,مروحيات,same lemma
سُوء,وسوء,same lemma
نَصّ,وينص,same lemma
تَسَبَّب,يتسبب,same lemma
أَجْنَبِيّ,أجنبي,same lemma
ضُعْف,أضعاف,same lemma
أَمْر,أوامر,same lemma
طِفْل,اطفال,same lemma
تَظاهُرَة,التظاهرة,same lemma
عَقار,العقار,same lemma
حُكْم,بالحكم,same lemma
ضِفَّة,بالضفة,same lemma
عَرَبِيّ,عربيا,same lemma
نار,نيران,same lemma
تَعَرَّض,وتعرض,same lemma
تَجْدِيد,التجديد,same lemma
تَوَتُّر,التوترات,same lemma
سِياحِيّ,السياحي,same lemma
نُسْخَة,النسخة,same lemma
قاهِرَة,بالقاهرة,same lemma
مُواصَلَة,بمواصلة,same lemma
تاجِر,تجار,same lemma
خَصَّص,تخصص,same lemma
حَدَّد,حددت,same lemma
رائِد,رواد,same lemma
عادِيّ,عادي,same lemma
قادِر,قادرين,same lemma
نِساء,للنساء,same lemma
وُقُوف,للوقوف,same lemma
مُقاتِل,مقاتلين,same lemma
تَنْمِيَة,وتنمية,same lemma
قَرَّر,وقررت,same lemma
أَهَمّ,يهم,same lemma
رُكْن,اركان,same lemma
سُوِيسرِيّ,السويسري,same lemma
نَوْع,انواع,same lemma
طَرْح,طرحه,same lemma
تَطْبِيق,لتطبيق,same lemma
مُرَشَّح,مرشحة,same lemma
دَعا,ندعو,same lemma
ٱِعْتِقال,واعتقال,same lemma
شَبّ,والشباب,same lemma
قَرَّر,وقرر,same lemma
كَي,ولكي,same lemma
رَفَض,يرفضون,same lemma
إِمْكانِيَّة,إمكانيات,same lemma
حَزْم,الحزم,same lemma
شَرِيك,الشركاء,same lemma
سَقَط,تسقط,same lemma
حَقّ,حقوقها,same lemma
دُنْيا,دنيا,same lemma
رُؤْيَة,رؤيته,same lemma
رَكَّز,ركزت,same lemma
فِتْنَة,فتنة,same lemma
طَلَب,لطلب,same lemma
مُؤْتَمَر,لمؤتمر,same lemma
وَسِيلَة,لوسائل,same lemma
طالَب,ويطالب,same lemma
أُسْرَة,أسر,same lemma
خَلْق,الأخلاق,same lemma
إِرْهابِيّ,الارهابي,same lemma
حَلِيف,الحلفاء,same lemma
شَهادَة,الشهادة,same lemma
مَسْؤُول,المسئول,same lemma
أَمْن,بالأمن,same lemma
ٱِنْسِحاب,بالانسحاب,same lemma
عالَم,بالعالم,same lemma
سَلْبِيّ,سلبي,same lemma
شَقِيق,شقيق,same lemma
قائِد,قادتها,same lemma
قَضِيَّة,للقضية,same lemma
مُقاوَمَة,للمقاومة,same lemma
مَقال,مقالة,same lemma
مَنْصِب,مناصب,same lemma
نَظْم,نظمت,same lemma
نَقْل,نقله,same lemma
هائِل,هائل,same lemma
تَطْبِيق,وتطبيق,same lemma
أَوْلَوِيَّة,أولوية,same lemma
إِقْلِيمِيّ,إقليمي,same lemma
أُفُق,الأفق,same lemma
قَمَر,الأقمار,same lemma
تَطْبِيق,التطبيق,same lemma
حِمايَة,بحماية,same lemma
رَصاص,برصاص,same lemma
خَلْف,خلفا,same lemma
دَعْوَة,دعوته,same lemma
دَوْرِيّ,دوريات,same lemma
قَرْض,قروض,same lemma
قَصَد,قصد,same lemma
مَصْنَع,مصانع,same lemma
نادِر,نادرة,same lemma
جِهاز,وأجهزة,same lemma
وَقِيعَة,وقائع,same lemma
اللَّه,ولله,same lemma
ضَرَر,أضرار,same lemma
فِيلْم,أفلام,same lemma
تَساؤُل,التساؤل,same lemma
فاعِل,الفاعلة,same lemma
نِقابَة,النقابة,same lemma
مَدِينَة,بالمدينة,same lemma
حَرَم,حرم,same lemma
فَعّال,فعال,same lemma
ساكِن,لسكان,same lemma
تَعْبِير,للتعبير,same lemma
صِراع,للصراع,same lemma
مُتَمَرِّد,متمردي,same lemma
مُتَّهَم,متهمين,same lemma
مَرِيض,مرضى,same lemma
مُسْتَعِدّ,مستعدون,same lemma
فاز,وفاز,same lemma
أَمْكَن,يمكنهم,same lemma
أَراد,اراد,same lemma
ٱِعْتَمَد,اعتمد,same lemma
إِسْرائِيلِيّ,الإسرائيليون,same lemma
تَغْيِير,التغييرات,same lemma
سائِق,السائق,same lemma
فِيدِرالِيّ,الفيدرالي,same lemma
مَوْجُود,الموجودين,same lemma
وَكِيل,الوكيل,same lemma
نَفْط,بالنفط,same lemma
عَقْل,عقول,same lemma
قال,قل,same lemma
ضَرْب,لضرب,same lemma
دُسْتُور,للدستور,same lemma
قُوَّة,للقوة,same lemma
مَحْكَمَة,محاكم,same lemma
بات,وبات,same lemma
ذات,وبالذات,same lemma
دافَع,يدافع,same lemma
أَمِير,الأميرة,same lemma
مُتَوَقَّع,المتوقعة,same lemma
بَدِيل,بديلة,same lemma
مَشْرُوع,بمشروع,same lemma
جَمْع,لجمع,same lemma
ثَقافِيّ,والثقافي,same lemma
وَزْن,وزن,same lemma
عاد,وعدت,same lemma
آبِد,ولابد,same lemma
آخَر,آخرها,same lemma
سَعادَة,السعادة,same lemma
مُقَرَّب,المقربين,same lemma
خِلاف,بخلاف,same lemma
ثُلْث,ثلثي,same lemma
عَيْن,عيون,same lemma
كُلّ,كلنا,same lemma
تَسْهِيل,لتسهيل,same lemma
مُنْشَأَة,منشأة,same lemma
شَهِد,وتشهد,same lemma
دَوْلَة,ودولة,same lemma
غِياب,وغياب,same lemma
مَضَى,ومضى,same lemma
قال,يقوله,same lemma
ٱِعْتَبَر,اعتبره,same lemma
مَصْنَع,المصانع,same lemma
جَعَل,جعلها,same lemma
جوانْتَنامُو,جوانتانامو,same lemma
رَغْبَة,رغبتها,same lemma
قَناة,لقناة,same lemma
وَصَل,وصلوا,same lemma
عِلْم,يعلمون,same lemma
واجَه,يواجهها,same lemma
يَوْم,يومنا,same lemma
أَمْن,آمن,same lemma
أَوَّل,الاولية,same lemma
مَتْحَف,المتحف,same lemma
وَرَق,الورقة,same lemma
ٱِنْطَلَق,انطلق,same lemma
رَحِم,رحم,same lemma
عَقَبَة,عقبة,same lemma
حَقّ,لحق,same lemma
مَرْكَزِيّ,مركزية,same lemma
مِيزان,ميزان,same lemma
تَفْعِيل,وتفعيل,same lemma
عَمَلِيَّة,وعملية,same lemma
وَقْف,وقفت,same lemma
كُلّ,ولكل,same lemma
ٱِحْتَرَم,يحترم,same lemma
حِفْظ,يحفظ,same lemma
أَمَل,آمال,same lemma
إِسْبانِيّ,إسبانيا,same lemma
جُودَة,الجودة,same lemma
دَلِيل,الدليل,same lemma
هاتِف,الهواتف,same lemma
جُنْدِيّ,جنودها,same lemma
سَبَق,سبقت,same lemma
تَدْرِيب,والتدريب,same lemma
دَعْوَة,والدعوة,same lemma
كَنَدا,وكندا,same lemma
آباد,أباد,same lemma
ٱِسْتِخْدام,استخدامه,same lemma
آلِيَّة,الآلية,same lemma
دَوْرَة,الدورات,same lemma
أُسْلُوب,بأسلوب,same lemma
تَدَخُّل,بالتدخل,same lemma
صَوْت,بصوت,same lemma
تَعْلِيق,تعليقات,same lemma
دافَع,دوافع,same lemma
غُرْفَة,غرف,same lemma
ٱِتِّفاق,للاتفاق,same lemma
مَصْرَع,مصرعه,same lemma
تَقَدَّم,والتقدم,same lemma
قانُون,والقوانين,same lemma
مَمْلَكَة,والمملكة,same lemma
هٰذا,وبهذه,same lemma
نَشْر,ينشر,same lemma
جَمْع,أجمع,same lemma
أَجْرَى,اجرى,same lemma
طاقِم,الطاقم,same lemma
غايَة,الغاية,same lemma
سِلاح,بالسلاح,same lemma
جُزْء,كجزء,same lemma
مُعْتَبَر,معتبراً,same lemma
طَهْران,وطهران,same lemma
وَجَد,ويوجد,same lemma
ظَنّ,أظن,same lemma
أَساسِيّ,الاساسي,same lemma
أَهْلِيّ,الاهلي,same lemma
ناسِف,الناسفة,same lemma
هُبُوط,الهبوط,same lemma
كَلِمَة,بكلمة,same lemma
طَبَق,تطبق,same lemma
حَضارَة,حضارة,same lemma
رَحَّب,رحبت,same lemma
أَجْرَى,ستجرى,same lemma
عِراقِيّ,عراقيا,same lemma
إِقامَة,لاقامة,same lemma
عِلاج,للعلاج,same lemma
كَهْرَباء,والكهرباء,same lemma
أُسْطُول,أسطول,same lemma
نادِي,أندية,same lemma
آلِيَّة,الآليات,same lemma
أُولَى,الأولي,same lemma
سَهْم,الاسهم,same lemma
بُولَنْدِيّ,البولندي,same lemma
مَنْهَج,المنهج,same lemma
وَعَد,الوعود,same lemma
وَلِيد,الوليد,same lemma
مُقابِل,بالمقابل,same lemma
حَقَّق,حققه,same lemma
حَلِيف,حليف,same lemma
حِين,حينه,same lemma
دَمار,دمار,same lemma
عِراقِيّ,للعراقيين,same lemma
مُطْلَق,مطلق,same lemma
أَصْدَر,أصدرته,same lemma
قَلْب,القلوب,same lemma
لُغَة,اللغات,same lemma
مُتابَعَة,المتابعة,same lemma
مَعْلُومَة,المعلومة,same lemma
مَنْدُوب,المندوبين,same lemma
جَدَل,جدلا,same lemma
جَهْد,جهودا,same lemma
حَرَكَة,حركته,same lemma
سِياحِيّ,سياحية,same lemma
شَرِيحَة,شرائح,same lemma
ٱِقْتِصاد,للاقتصاد,same lemma
صَحِيفَة,للصحيفة,same lemma
مُقَدَّم,مقدم,same lemma
نَبَأ,نبأ,same lemma
عَضّ,وبعضها,same lemma
جَرَى,وجرت,same lemma
زَعِيم,وزعيم,same lemma
أُسامَة,اسامة,same lemma
ضَوْء,الأضواء,same lemma
إِشْراف,الإشراف,same lemma
تَحْذِير,التحذير,same lemma
طِفْل,الطفلة,same lemma
مُتَطَوِّر,المتطورة,same lemma
مُمْكِن,الممكنة,same lemma
ثَرْوَة,ثروات,same lemma
جِدِّيّ,جدي,same lemma
شارَك,سيشارك,same lemma
قَلِيل,قليلاً,same lemma
هُجُوم,للهجوم,same lemma
مُتَمَيِّز,متميزة,same lemma
مُناهِض,مناهضة,same lemma
مُنْتَج,منتج,same lemma
أَحْمَد,وأحمد,same lemma
الَّذِي,والذى,same lemma
نَظِير,ونظيره,same lemma
ٱِنْتَظَر,وينتظر,same lemma
أَسْهَم,يسهم,same lemma
نَظْم,ينظم,same lemma
إِدارَة,إدارته,same lemma
إِرْهابِيّ,إرهابي,same lemma
مَرّ,المر,same lemma
مُكَوِّن,المكونات,same lemma
سَعَى,بالسعي,same lemma
خَيْر,بخير,same lemma
بَذْل,تبذلها,same lemma
حَقّ,حقوقه,same lemma
زِيارَة,زيارات,same lemma
مُعادَلَة,معادلة,same lemma
مُوَضِّح,موضحاً,same lemma
مِن,مَن,same lemma
أَخَذ,وأخذ,same lemma
صُنْدُوق,الصناديق,same lemma
فَشَل,بالفشل,same lemma
بَدِيل,بديلا,same lemma
خَلَل,خلل,same lemma
ساعَد,ساعدت,same lemma
دَوْر,لدور,same lemma
ضُغُوط,لضغوط,same lemma
نُوفُوسْتِي,لنوفوستي,same lemma
حُكْم,وحكم,same lemma
تَضَمَّن,ويتضمن,same lemma
أَدْرَك,أدرك,same lemma
طَبِيب,أطباء,same lemma
إِصابَة,اصابات,same lemma
أَقَرّ,اقر,same lemma
حَضارِيّ,الحضارية,same lemma
سَفِير,السفراء,same lemma
مَسافَة,المسافة,same lemma
مُهِمَّة,المهمات,same lemma
صِحَّة,بصحة,same lemma
أَبْرَز,تبرز,same lemma
قِتالِيّ,قتالية,same lemma
لَعِب,لعبت,same lemma
ٱِسْتِفادَة,للاستفادة,same lemma
مُراسِل,مراسلة,same lemma
نَقْل,نقلته,same lemma
حَرْب,والحرب,same lemma
حال,الاحوال,same lemma
تَأْيِيد,تأييده,same lemma
قاد,تقودها,same lemma
ضَعِيف,ضعيف,same lemma
عَلاقَة,علاقته,same lemma
فَنّان,فنان,same lemma
قَدِيم,قديم,same lemma
لافِت,لافتة,same lemma
غايَة,لغاية,same lemma
مُراقِب,مراقب,same lemma
مَعْنِيّ,معنية,same lemma
سَعَى,نسعى,same lemma
لٰكِنَّ,ولكنني,same lemma
مَع,ومعها,same lemma
بَحْث,أبحاث,same lemma
إِذا,إذاً,same lemma
إِسْرائِيلِيّ,إسرائيليين,same lemma
أُورُبِّيّ,الأوربي,same lemma
إِعْمار,الاعمار,same lemma
خاطِئ,الخاطئة,same lemma
مُهْلَة,المهلة,same lemma
قِيام,بالقيام,same lemma
ضَحِيَّة,ضحيتها,same lemma
مُسْبَق,مسبقة,same lemma
مَوْعِد,موعدها,same lemma
إِطْلاق,وإطلاق,same lemma
واسِع,واسعا,same lemma
ٱِتِّفاق,والاتفاق,same lemma
وَصَل,ووصلت,same lemma
ٱِتَّجَه,يتجه,same lemma
تَراوَح,يتراوح,same lemma
شَقِيق,الشقيقين,same lemma
كَنِيسَة,الكنائس,same lemma
حَمْلَة,بحملة,same lemma
فَوْز,بفوز,same lemma
قَطْع,بقطع,same lemma
مُمارَسَة,بممارسة,same lemma
جَزاء,جزاء,same lemma
جَسَد,جسد,same lemma
جُمْعَة,جمعة,same lemma
حَقّ,حقهم,same lemma
سَعادَة,سعادته,same lemma
ٱِسْتَمَرّ,سيستمر,same lemma
عَظِيم,عظيمة,same lemma
أَداء,لأداء,same lemma
قَضِيَّة,لقضية,same lemma
نَظِير,نظير,same lemma
طِفْل,والأطفال,same lemma
ساد,يسود,same lemma
أُولَى,يوليا,same lemma
ٱِحْتِفال,احتفالات,same lemma
ٱِعْتَمَد,اعتمدت,same lemma
تَطَرَّق,التطرق,same lemma
ثَرْوَة,الثروات,same lemma
بَقِيَّة,بقايا,same lemma
تَمام,تمام,same lemma
عُنْوان,عناوين,same lemma
أَظْهَر,وأظهرت,same lemma
أَمّا,وإما,same lemma
جَرَى,وتجري,same lemma
شَهِد,وشهد,same lemma
ٱِخْتار,يختار,same lemma
أَقام,يقام,same lemma
آب,اب,same lemma
ٱِتِّجاه,اتجاهات,same lemma
إِقْناع,اقناع,same lemma
ثابِت,الثابت,same lemma
دِيمُوقراطِيّ,الديموقراطيين,same lemma
فِيدِرالِيّ,الفدرالي,same lemma
ٱِحْتِرام,باحترام,same lemma
ضَبْط,بالضبط,same lemma
وَقُود,بالوقود,same lemma
تَكْلِيف,تكليف,same lemma
جِدّ,جدًا,same lemma
جَهْد,جهوده,same lemma
شَهِد,ستشهد,same lemma
ثَوْرَة,للثورة,same lemma
مُذَكِّرَة,مذكرات,same lemma
إِنْشاء,وإنشاء,same lemma
وُضُوح,وضوح,same lemma
أَهْل,أهله,same lemma
إِلَى,إلينا,same lemma
أَحَد,احدهم,same lemma
إِخْوَة,الأخوة,same lemma
مُكَوِّن,المكون,same lemma
جُنْدِيّ,جنديين,same lemma
دِين,ديون,same lemma
ذاتِيّ,ذاتي,same lemma
رَصِيد,رصيد,same lemma
إِلّا,ستالين,same lemma
عَمِيد,عميد,same lemma
حَرْب,لحرب,same lemma
نَتِيجَة,نتائجه,same lemma
هَدَّد,هددت,same lemma
سَعَى,والسعي,same lemma
ثَمَّةَ,وثمة,same lemma
أَمام,أمامها,same lemma
ٱِضْطَرّ,اضطرت,same lemma
صِدِّيق,الأصدقاء,same lemma
أَساس,الاساس,same lemma
ٱِفْتِتاح,الافتتاح,same lemma
تَدْرِيبِيّ,التدريبية,same lemma
مِهْنِيّ,المهني,same lemma
سِعْر,بأسعار,same lemma
سِياسَة,بالسياسة,same lemma
بَعْض,بعضا,same lemma
ثانِي,ثان,same lemma
جَعَل,جعله,same lemma
قَطْع,قطعت,same lemma
تَدْرِيب,للتدريب,same lemma
شَرْق,للشرق,same lemma
مُخَصَّص,مخصصة,same lemma
مُسْلِم,مسلمة,same lemma
