rank,arabic_lemma,transliteration,english_core_gloss,part_of_speech,canonical_form_rule_used,root_if_relevant,estimated_frequency_tier,dispersion_score,usefulness_score,register_label,keep_reason,merged_forms_or_variants,notes
621,ماء,mA',Water.,noun,noun: singular lemma,,T1,0.333,9.547,media,high_frequency + dispersion,الماء; المياه; بالماء; بالمياه; بماء ...,
622,تَغَيَّر,tagay~ar,Change,verb,verb: 3ms past lemma,,T1,0.333,9.547,media,high_frequency + dispersion,التغير; التغيرات; بتغير; تتغير; تغيرات ...,
623,دَرَس,daras,He studied.,verb,verb: 3ms past lemma,درس,T1,0.333,9.545,media,high_frequency + dispersion,الدرس; الدروس; تدرس; درس; درسا ...,
624,أَدْرَك,>adorak,I know you.,verb,verb: 3ms past lemma,درك,T1,0.333,9.537,media,high_frequency + dispersion,أدرك; أدركت; أدركوا; ادرك; تدرك ...,
625,طَرْح,TaroH,Touchdown.,noun,noun: singular lemma,طرح,T1,0.333,9.537,media,high_frequency + dispersion,الطرح; بطرح; تطرح; تطرحه; تطرحها ...,
626,طَرِيقَة,Tariyqap,Way.,noun,noun: singular lemma,طرق,T1,0.333,9.535,media,high_frequency + dispersion,الطريقة; بالطريقة; بطريقة; بطريقته; طرائق ...,
627,كافَّة,kAf~ap,All of it.,noun,noun: singular lemma,,T1,0.333,9.534,media,high_frequency + dispersion,كافة,
628,تَعالَى,taEAlaY,Come on.,verb,verb: 3ms past lemma,,T1,0.333,9.534,media,high_frequency + dispersion,تعالت; تعالوا; تعالى; تعالي; وتعالى,
629,مَقْتَل,maqotal,Murdered.,noun,noun: singular lemma,قتل,T1,0.333,9.53,media,high_frequency + dispersion,بمقتل; لمقتل; مقتل; مقتله; وبمقتل ...,
630,ٱِسْتِمْرار,{isotimorAr,Keep going.,noun,noun: singular lemma,مرر,T1,0.333,9.53,media,high_frequency + dispersion,إستمرار; استمرار; استمرارا; استمراره; استمرارها ...,
631,وَفَّر,waf~ar,Save it.,verb,verb: 3ms past lemma,,T1,0.333,9.529,media,high_frequency + dispersion,أوفر; توفر; توفره; توفرها; ستوفر ...,
632,حَسَن,Hasan,All right.,noun_prop,noun: singular lemma,حسن,T1,0.333,9.529,media,high_frequency + dispersion,الحسن; الحسنة; بحسن; حسان; حسن ...,
633,فَرْد,farod,Ah; ah,noun,noun: singular lemma,فرد,T1,0.333,9.529,media,high_frequency + dispersion,أفراد; أفرادا; أفراده; أفرادها; افراد ...,
634,أَقَرّ,>aqar~,I decide.,verb,verb: 3ms past lemma,قرر,T1,0.333,9.525,media,high_frequency + dispersion,أقر; أقرأ; أقرت; أقرتها; أقره ...,
635,سَبَت,sabat,I'm sorry.,noun,noun: singular lemma,سبت,T1,0.333,9.523,media,high_frequency + dispersion,السبت; والسبت,
636,مَضَى,maDaY,Go ahead.,verb,verb: 3ms past lemma,,T1,0.333,9.521,media,high_frequency + dispersion,أمضى; المضي; بالمضي; تمض; تمضي ...,
637,رِياض,riyAD,Satisfying.,noun_prop,noun: singular lemma,,T1,0.333,9.52,media,high_frequency + dispersion,الرياض; بالرياض; رياض; للرياض; والرياض,
638,نَجاح,najAH,Success.,noun,noun: singular lemma,نجح,T1,0.333,9.514,media,high_frequency + dispersion,النجاح; النجاحات; بالنجاح; بنجاح; للنجاح ...,
639,قائِل,qA}il,Saying...,adv,particle/base,,T1,0.333,9.513,media,high_frequency + dispersion,القائل; القائلة; قائل; قائلا; قائلاً ...,
640,مَدَنِيّ,madaniy~,My cities.,adj,adj: masc singular lemma,مدن,T1,0.333,9.511,media,high_frequency + dispersion,المدنى; المدني; المدنية; المدنيون; المدنيين ...,
641,خَطَر,xaTar,Danger!,noun,noun: singular lemma,خطر,T1,0.333,9.509,media,high_frequency + dispersion,أخطار; اخطار; الأخطار; الاخطار; الخطر ...,
642,حُضُور,HuDuwr,Come on.,noun,noun: singular lemma,حضر,T1,0.333,9.508,media,high_frequency + dispersion,الحضور; بالحضور; بحضور; حضور; حضورا ...,
643,دَرَجَة,darajap,A bike.,noun,noun: singular lemma,درج,T1,0.333,9.507,media,high_frequency + dispersion,الدرجات; الدرجة; بالدرجة; بدرجات; بدرجة ...,
644,هَجْمَة,hajomap,Attack!,noun,noun: singular lemma,هجم,T1,0.333,9.507,media,high_frequency + dispersion,الهجمات; الهجمة; بالهجمات; بهجمات; للهجمات ...,
645,تُركِيا,turkiyA,Turkia.,noun_prop,noun: singular lemma,,T1,0.333,9.503,media,high_frequency + dispersion,بتركيا; تركيا; لتركيا; وتركيا,
646,تَجاوُز,tajAwuz,Override.,noun,noun: singular lemma,,T1,0.333,9.503,media,high_frequency + dispersion,التجاوز; التجاوزات; بتجاوز; تتجاوز; تجاوز ...,
647,ثِنْي,vinoy,Twice.,noun,noun: singular lemma,,T1,0.333,9.5,media,high_frequency + dispersion,أثناء; اثناء; واثناء,
648,سَيِّد,say~id,Master.,noun_prop,noun: singular lemma,,T1,0.333,9.5,media,high_frequency + dispersion,السادة; السيد; بالسيد; سادة; سيد ...,
649,تَحْدِيد,taHodiyd,Specify,noun,noun: singular lemma,حدد,T1,0.333,9.499,media,high_frequency + dispersion,التحديد; بالتحديد; بتحديد; تحديد; تحديدا ...,
650,قُرْب,qurob,Close.,noun,noun: singular lemma,قرب,T1,0.333,9.497,media,high_frequency + dispersion,القرب; بالقرب; بقرب; تقرب; قرب ...,
651,مُهِمَّة,muhim~ap,It's important.,noun,noun: singular lemma,همم,T1,0.333,9.496,media,high_frequency + dispersion,المهام; المهمات; المهمة; بالمهمة; بمهام ...,
652,جَلْسَة,jalosap,Sit down.,noun,noun: singular lemma,جلس,T1,0.333,9.495,media,high_frequency + dispersion,الجلسات; الجلسة; جلسات; جلساته; جلسة ...,
653,حَظِي,HaZiy,My luck.,verb,verb: 3ms past lemma,,T1,0.333,9.493,media,high_frequency + dispersion,تحظ; تحظى; حظي; حظيت; ستحظى ...,
654,سَأَل,sa>al,Ask.,verb,verb: 3ms past lemma,,T1,0.333,9.493,media,high_frequency + dispersion,أسأل; اسأل; تسأل; تسألني; تسيل ...,
655,مَرْأَة,maro>ap,A woman.,noun,noun: singular lemma,,T1,0.333,9.492,media,high_frequency + dispersion,المرآة; المرأة; المرأه; المراة; بالمرأة ...,
656,مارِس,mAris,Marse.,noun_prop,noun: singular lemma,,T1,0.333,9.491,media,high_frequency + dispersion,تمارس; تمارسه; تمارسها; مارس; مارست ...,
657,فَوْز,fawoz,Win!,noun,noun: singular lemma,,T1,0.333,9.491,media,high_frequency + dispersion,الفوز; الفوزان; بالفوز; بفوز; بفوزه ...,
658,سَفِير,safiyr,Ambassador,noun,noun: singular lemma,سفر,T1,0.333,9.488,media,high_frequency + dispersion,السفراء; السفير; السفيرة; سفراء; سفير ...,
659,دافَع,dAfaE,Motivated.,verb,verb: 3ms past lemma,دفع,T1,0.333,9.488,media,high_frequency + dispersion,الدافع; الدوافع; بدافع; بدوافع; تدافع ...,
660,مُشْتَرَك,mu$otarak,Engaged.,adj,adj: masc singular lemma,شرك,T1,0.333,9.484,media,high_frequency + dispersion,المشترك; المشتركات; المشتركة; المشتركين; مشترك ...,
661,شِعْر,$iEor,Feel.,noun,noun: singular lemma,شعر,T1,0.333,9.482,media,high_frequency + dispersion,أشعر; إشعار; اشعار; اشعر; الشعر ...,
662,سَيْطَر,sayoTar,He's gonna fly.,verb,verb: 3ms past lemma,سطر,T1,0.333,9.478,media,high_frequency + dispersion,تسيطر; سيطر; سيطرت; سيطروا; وتسيطر ...,
663,قَناة,qanAp,A canal.,noun,noun: singular lemma,,T1,0.333,9.478,media,high_frequency + dispersion,القناة; القنوات; بقناة; قناة; قنوات ...,
664,صَلَّى,Sal~aY,Pray.,verb,verb: 3ms past lemma,,T1,0.333,9.475,media,high_frequency + dispersion,صلى; صلي; وصلى; يصلي,
665,باراك,bArAk,Barack.,noun_prop,noun: singular lemma,,T1,0.333,9.474,media,high_frequency + dispersion,باراك; بارك; لباراك; وباراك; وبارك,
666,تَجْرِبَة,tajoribap,Try it.,noun,noun: singular lemma,جرب,T1,0.333,9.473,media,high_frequency + dispersion,التجارب; التجربة; بالتجربة; بتجارب; بتجربة ...,
667,قَضاء,qaDA',Ah; ah,noun,noun: singular lemma,,T1,0.333,9.469,media,high_frequency + dispersion,القضاء; بالقضاء; بقضاء; قضاء; لقضاء ...,
668,جَمْع,jamoE,Gather.,noun,noun: singular lemma,جمع,T1,0.333,9.465,media,high_frequency + dispersion,أجمع; الجمع; بجمع; تجمع; تجمعا ...,
669,غاز,gAz,Gas.,noun,noun: singular lemma,,T1,0.333,9.465,media,high_frequency + dispersion,الغاز; الغازات; بالغاز; غاز; غازات ...,
670,مُقاوَمَة,muqAwamap,Resisting.,noun,noun: singular lemma,,T1,0.333,9.465,media,high_frequency + dispersion,المقاومة; بالمقاومة; بمقاومة; للمقاومة; لمقاومة ...,
671,مُناسَبَة,munAsabap,Appropriate.,noun,noun: singular lemma,نسب,T1,0.333,9.463,media,high_frequency + dispersion,المناسبات; المناسبة; بالمناسبة; بمناسبة; لمناسبة ...,
672,أَعْلَى,>aEolaY,I'm upstairs.,adj,adj: masc singular lemma,,T1,0.333,9.461,media,high_frequency + dispersion,أعالي; أعلاه; أعلى; اعلاه; اعلى ...,
673,صِحَّة,SiH~ap,Healthy.,noun,noun: singular lemma,صحح,T1,0.333,9.46,media,high_frequency + dispersion,الصحة; الصحه; بالصحة; بصحة; صحة ...,
674,مَنْزِل,manozil,Home.,noun,noun: singular lemma,نزل,T1,0.333,9.458,media,high_frequency + dispersion,المنازل; المنزل; بمنزلة; للمنزل; منازل ...,
675,نِصْف,niSof,Half.,noun,noun: singular lemma,نصف,T1,0.333,9.457,media,high_frequency + dispersion,النصف; بالنصف; بنصف; نصف; نصفهم ...,
676,حِوال,HiwAl,About...,noun,noun: singular lemma,,T1,0.333,9.454,media,high_frequency + dispersion,بحوالي; حوالى; حوالي; وحوالي,
677,صِين,Siyn,China,noun_prop,noun: singular lemma,,T1,0.333,9.454,media,high_frequency + dispersion,الصين; بالصين; كالصين; للصين; والصين,
678,طَهْران,TahorAn,They're clean.,noun_prop,noun: singular lemma,طهر,T1,0.333,9.452,media,high_frequency + dispersion,بطهران; طهران; لطهران; وطهران,
679,عَدِيد,Eadiyd,Many.,adj,adj: masc singular lemma,عدد,T1,0.333,9.452,media,high_frequency + dispersion,العديد; العديدة; بالعديد; عديد; عديدة ...,
680,مُدَّة,mud~ap,Duration,noun,noun: singular lemma,مدد,T1,0.333,9.45,media,high_frequency + dispersion,المدة; لمدة; مدة; مدته; مدتها ...,
681,مَدْرَسَة,madorasap,Teaching,noun,noun: singular lemma,درس,T1,0.333,9.447,media,high_frequency + dispersion,المدارس; المدرسة; بالمدارس; بالمدرسة; بمدرسة ...,
682,عُنْوان,EunowAn,An address.,noun,noun: singular lemma,عنن,T1,0.333,9.445,media,high_frequency + dispersion,العناوين; العنوان; بعنوان; عناوين; عنوان ...,
683,مَحْمُود,maHomuwd,Praised.,noun_prop,noun: singular lemma,حمد,T1,0.333,9.445,media,high_frequency + dispersion,المحمود; لمحمود; محمود; ومحمود,
684,جَمْعِيَّة,jamoEiy~ap,Gathering,noun,noun: singular lemma,جمع,T1,0.333,9.444,media,high_frequency + dispersion,الجمعيات; الجمعية; بجمعية; جمعيات; جمعية ...,
685,أَتاح,>atAH,I'm available.,verb,verb: 3ms past lemma,,T1,0.333,9.443,media,high_frequency + dispersion,أتاح; أتاحت; أتيحت; اتاح; تتاح ...,
686,عِشْرُون,Ei$oruwn,Ten.,noun,noun: singular lemma,عشر,T1,0.333,9.442,media,high_frequency + dispersion,العشرون; العشرين; بعشرين; عشرون; عشرين ...,
687,سَبِيل,sabiyl,We're gonna... we're gonna...,noun,noun: singular lemma,سبل,T1,0.333,9.442,media,high_frequency + dispersion,السبل; السبيل; سبل; سبيل; سبيلا ...,
688,عَبّاس,Eab~As,Spices.,noun_prop,noun: singular lemma,عبس,T1,0.333,9.439,media,high_frequency + dispersion,العباس; عباس; لعباس; وعباس,
689,مُشِير,mu$iyr,A counselor.,adj,adj: masc singular lemma,,T1,0.333,9.438,media,high_frequency + dispersion,المشير; مشيرا; مشيراً; مشيرة; مشيرين ...,
690,أَدّ,>ad~,Ed.,verb,verb: 3ms past lemma,,T1,0.333,9.438,media,high_frequency + dispersion,أدت; أدنى; أدّت; وأدت; وادت,
691,لُغَة,lugap,Language,noun,noun: singular lemma,,T1,0.333,9.437,media,high_frequency + dispersion,اللغات; اللغة; باللغات; باللغة; باللغتين ...,
692,وَعَد,waEad,Promise.,verb,verb: 3ms past lemma,,T1,0.333,9.431,media,high_frequency + dispersion,الوعد; الوعود; توعد; والوعود; وتوعد ...,
693,ٱِخْتَلَف,{ixotalaf,Different.,verb,verb: 3ms past lemma,خلف,T1,0.333,9.43,media,high_frequency + dispersion,اختلف; اختلفت; اختلفنا; اختلفوا; تختلف ...,
694,خِطاب,xiTAb,Speech.,noun,noun: singular lemma,خطب,T1,0.333,9.429,media,high_frequency + dispersion,الخطاب; الخطابات; بخطاب; خطاب; خطابا ...,
695,مُعْظَم,muEoZam,Mostly.,noun,noun: singular lemma,عظم,T1,0.333,9.428,media,high_frequency + dispersion,بمعظم; فمعظم; لمعظم; معظم; معظمه ...,
696,أَلْمانِيا,>alomAniyA,Almania.,noun_prop,noun: singular lemma,,T1,0.333,9.425,media,high_frequency + dispersion,ألمانيا; المانيا; بألمانيا; وألمانيا; والمانيا,
697,ٱِجْتِماعِيّ,{ijotimAEiy~,Meeting with me,adj,adj: masc singular lemma,جمع,T1,0.333,9.424,media,high_frequency + dispersion,اجتماعي; اجتماعيا; اجتماعياً; اجتماعية; الإجتماعي ...,
698,أَرْسَل,>arosal,I'm sending...,verb,verb: 3ms past lemma,رسل,T1,0.333,9.423,media,high_frequency + dispersion,أرسل; أرسلت; أرسلتها; أرسلها; أرسلوا ...,
699,وَفْد,wafod,Come in.,noun,noun: singular lemma,,T1,0.333,9.42,media,high_frequency + dispersion,الوفد; الوفدين; الوفود; بوفد; للوفد ...,
700,خَبِير,xabiyr,An expert.,noun,noun: singular lemma,خبر,T1,0.333,9.418,media,high_frequency + dispersion,الخبراء; الخبير; الخبيرة; خبراء; خبير ...,
701,فَرَنْسا,faranosA,France,noun_prop,noun: singular lemma,,T1,0.333,9.415,media,high_frequency + dispersion,بفرنسا; فرنسا; لفرنسا; وفرنسا,
702,ٱِهْتِمام,{ihotimAm,Interesting.,noun,noun: singular lemma,همم,T1,0.333,9.414,media,high_frequency + dispersion,إهتمام; الإهتمام; الاهتمام; الاهتمامات; اهتمام ...,
703,ٱِرْتِفاع,{irotifAE,Rise,noun,noun: singular lemma,رفع,T1,0.333,9.413,media,high_frequency + dispersion,إرتفاع; ارتفاع; ارتفاعا; ارتفاعات; ارتفاعاً ...,
704,صَباح,SabAH,Morning.,noun,noun: singular lemma,صبح,T1,0.333,9.411,media,high_frequency + dispersion,الصباح; صباح; صباحا; صباحاً; صباحك ...,
705,أَبْناء,>abonA',Sons.,noun,noun: singular lemma,,T1,0.333,9.407,media,high_frequency + dispersion,أبناء; أبناءنا; أبناءه; أبناءها; أبناءهم ...,
706,تَعْزِيز,taEoziyz,You're in love.,noun,noun: singular lemma,عزز,T1,0.333,9.407,media,high_frequency + dispersion,التعزيزات; بتعزيز; تعزيز; تعزيزات; تعزيزها ...,
707,أَبْدَى,>abodaY,Begin.,verb,verb: 3ms past lemma,,T1,0.333,9.403,media,high_frequency + dispersion,أبدت; أبدوا; أبدى; ابدت; ابدوا ...,
708,يا,yA,Hey.,part_voc,particle/base,,T1,0.333,9.402,media,high_frequency + dispersion,ويا; يا; يَا,
709,سِوَى,siwaY,It's just...,noun,noun: singular lemma,,T1,0.333,9.401,media,high_frequency + dispersion,آسو; اسو; سواه; سواها; سوى ...,
710,عُقُوبَة,Euquwbap,A punishment.,noun,noun: singular lemma,عقب,T1,0.333,9.4,media,high_frequency + dispersion,العقوبات; العقوبة; بعقوبات; بعقوبة; عقوبات ...,
711,رَوَى,rawaY,See?,verb,verb: 3ms past lemma,,T1,0.333,9.4,media,high_frequency + dispersion,الرؤى; الرؤيا; تروي; رؤى; رؤيا ...,
712,حَسَبَما,HasabamA,Well; guess what.,conj,particle/base,حسبم,T1,0.333,9.394,media,high_frequency + dispersion,حسبما; وحسبما,
713,مَحَطَّة,maHaT~ap,Station,noun,noun: singular lemma,حطط,T1,0.333,9.393,media,high_frequency + dispersion,المحطات; المحطة; بالمحطة; بمحطة; للمحطة ...,
714,بَيْرُوت,bayoruwt,Birot.,noun_prop,noun: singular lemma,برت,T1,0.333,9.392,media,high_frequency + dispersion,ببيروت; بيروت; لبيروت; وبيروت,
715,شَغَل,$agal,Operate.,verb,verb: 3ms past lemma,شغل,T1,0.333,9.391,media,high_frequency + dispersion,الأشغال; الاشغال; الشغل; تشغل; تشغلها ...,
716,تَهْدِيد,tahodiyd,Threatening.,noun,noun: singular lemma,هدد,T1,0.333,9.391,media,high_frequency + dispersion,التهديد; التهديدات; بالتهديد; بالتهديدات; بتهديد ...,
717,عَيْن,Eayon,An eye.,noun_prop,noun: singular lemma,,T1,0.333,9.39,media,high_frequency + dispersion,أعين; أعيننا; أعينهم; العين; العينات ...,
718,إِصابَة,<iSAbap,Shoot.,noun,noun: singular lemma,,T1,0.333,9.387,media,high_frequency + dispersion,إصابات; إصابة; اصابات; اصابة; اصابته ...,
719,قائِم,qA}im,Present,adj,adj: masc singular lemma,,T1,0.333,9.385,media,high_frequency + dispersion,القائم; القائمة; القائمون; القائمين; بقائمة ...,
720,رَغِب,ragib,Hey; hey,verb,verb: 3ms past lemma,رغب,T1,0.333,9.385,media,high_frequency + dispersion,أرغب; ترغب; رغب; رغبت; نرغب ...,
721,كُبْرِي,kuboriy,Zoom in.,noun,noun: singular lemma,كبر,T1,0.333,9.376,media,high_frequency + dispersion,الكبرى; الكبري; كبرى; كبري,
722,ٱِنْطَلَق,{inoTalaq,Go ahead.,verb,verb: 3ms past lemma,طلق,T1,0.333,9.376,media,high_frequency + dispersion,انطلق; انطلقت; تنطلق; ستنطلق; ننطلق ...,
723,شارِع,$AriE,Street.,noun,noun: singular lemma,شرع,T1,0.333,9.375,media,high_frequency + dispersion,الشارع; الشوارع; بشارع; شارع; شوارع ...,
724,أَصْل,>aSol,I do.,noun,noun: singular lemma,,T1,0.333,9.375,media,high_frequency + dispersion,أصل; أصلا; أصلاً; أصول; أصوله ...,
725,ٱِسْتِثْمار,{isotivomAr,Pleasure.,noun,noun: singular lemma,ثمر,T1,0.333,9.374,media,high_frequency + dispersion,استثمار; استثمارات; استثماراتها; استثمارها; استثمارية ...,
726,مَقَرّ,maqar~,Disgusting.,noun,noun: singular lemma,قرر,T1,0.333,9.371,media,high_frequency + dispersion,المقر; المقرات; بمقر; لمقر; مقار ...,
727,خَطّ,xaT~,Line,noun,noun: singular lemma,خطط,T1,0.333,9.37,media,high_frequency + dispersion,الخط; الخطوط; بالخط; بخط; خط ...,
728,شَبَكَة,$abakap,A straitjacket.,noun,noun: singular lemma,شبك,T1,0.333,9.369,media,high_frequency + dispersion,الشبكات; الشبكة; بشبكة; شباك; شبكات ...,
729,قَرْن,qaron,A century.,noun,noun: singular lemma,قرن,T1,0.333,9.369,media,high_frequency + dispersion,القرن; القرنين; القرون; قرن; قرنين ...,
730,مَقال,maqAl,An article.,noun,noun: singular lemma,,T1,0.333,9.367,media,high_frequency + dispersion,المقال; المقالات; المقالة; بمقال; مقال ...,
731,تَراجُع,tarAjuE,Back off.,noun,noun: singular lemma,رجع,T1,0.333,9.366,media,high_frequency + dispersion,التراجع; بالتراجع; بتراجع; تتراجع; تراجع ...,
732,جُورْج,juwroj,George!,noun_prop,noun: singular lemma,,T1,0.333,9.365,media,high_frequency + dispersion,جورج; لجورج; وجورج,
733,شَرْط,$aroT,Police!,noun,noun: singular lemma,شرط,T1,0.333,9.362,media,high_frequency + dispersion,الشرط; الشروط; بالشروط; بشرط; بشروط ...,
734,بَدْء,bado',Starting.,noun,noun: singular lemma,,T1,0.333,9.36,media,high_frequency + dispersion,البدء; بالبدء; ببدء; بدء; بدءا ...,
735,حَيّ,Hay~,Alive.,noun,noun: singular lemma,,T1,0.333,9.36,media,high_frequency + dispersion,أحيا; أحياء; الأحياء; الاحياء; الحي ...,
736,تَوَلِّي,tawal~iy,Go ahead.,noun,noun: singular lemma,,T1,0.333,9.359,media,high_frequency + dispersion,بتولي; تتولى; تولت; تولوا; تولى ...,
737,مُقَرِّر,muqar~ir,Assessed,noun,noun: singular lemma,قرر,T1,0.333,9.359,media,high_frequency + dispersion,المقرر; المقررة; مقرر; مقررا; مقرراً ...,
738,قُدْس,qudos,Holy.,noun_prop,noun: singular lemma,قدس,T1,0.333,9.358,media,high_frequency + dispersion,القدس; بالقدس; قدس; للقدس; والقدس,
739,تَعَهَّد,taEah~ad,He vowed.,verb,verb: 3ms past lemma,عهد,T1,0.333,9.358,media,high_frequency + dispersion,التعهد; التعهدات; بتعهداتها; تتعهد; تعهد ...,
740,فَشَل,fa$al,He failed.,noun,noun: singular lemma,فشل,T1,0.333,9.356,media,high_frequency + dispersion,الفشل; بالفشل; بفشل; تفشل; فشل ...,
741,طَوِيل,Tawiyl,Long.,adj,adj: masc singular lemma,,T1,0.333,9.354,media,high_frequency + dispersion,الطويل; الطويلة; طوال; طويل; طويلا ...,
742,تَيّار,tay~Ar,Current,noun,noun: singular lemma,,T1,0.333,9.353,media,high_frequency + dispersion,التيار; التيارات; بالتيار; تيار; تيارات ...,
743,ٱِنْتَقَد,{inotaqad,Criticize.,verb,verb: 3ms past lemma,نقد,T1,0.333,9.353,media,high_frequency + dispersion,انتقد; انتقدت; انتقدوا; تنتقد; وانتقد ...,
744,ظَرْف,Zarof,Ahhhhhhhhhhhhhhhhhh,noun,noun: singular lemma,ظرف,T1,0.333,9.352,media,high_frequency + dispersion,الظرف; الظروف; بالظروف; بظروف; ظرف ...,
745,ٱِخْتار,{ixotAr,Choose,verb,verb: 3ms past lemma,,T1,0.333,9.351,media,high_frequency + dispersion,إختار; اختار; اختارت; اختارته; اختاره ...,
746,مُنْتَخَب,munotaxab,Elected.,noun,noun: singular lemma,نخب,T1,0.333,9.35,media,high_frequency + dispersion,المنتخب; المنتخبات; المنتخبة; المنتخبين; للمنتخب ...,
747,عِدَّة,Eid~ap,Several.,adj,adj: masc singular lemma,عدد,T1,0.333,9.349,media,high_frequency + dispersion,العدة; بعدة; عدة; عدّة; لعدة ...,
748,سَواء,sawA',Either.,noun,noun: singular lemma,,T1,0.333,9.348,media,high_frequency + dispersion,السواء; سواء; سواءً; وسواء,
749,ظُهْر,Zuhor,Back.,noun,noun: singular lemma,ظهر,T1,0.333,9.348,media,high_frequency + dispersion,إظهار; الظهر; سيظهر; ظهر; ظهرا ...,
750,أَوْسَط,>awosaT,I mean...,adj,adj: masc singular lemma,,T1,0.333,9.346,media,high_frequency + dispersion,أواسط; أوسط; أوسطي; الأوسط; الاوسط ...,
751,مَحَلِّيّ,maHal~iy~,My tricks.,adj,adj: masc singular lemma,حلل,T1,0.333,9.34,media,high_frequency + dispersion,المحلى; المحلي; المحلية; المحليون; المحليين ...,
752,تَحْرِير,taHoriyr,Free!,noun,noun: singular lemma,حرر,T1,0.333,9.338,media,high_frequency + dispersion,التحرير; بتحرير; تحرير; تحريرها; لتحرير ...,
753,عَبْداللّٰه,EabodAll~`h,Adjusting to God,noun_prop,noun: singular lemma,,T1,0.333,9.337,media,high_frequency + dispersion,العبدالله; عبدالله; وعبدالله,
754,ٱِنْتَمَى,{inotamaY,It's a good thing to do.,verb,verb: 3ms past lemma,,T1,0.333,9.337,media,high_frequency + dispersion,تنتمي; فأنتم; وينتمي; ينتمون; ينتمي ...,
755,عُقْب,Euqob,Suspended.,noun,noun: singular lemma,عقب,T1,0.333,9.337,media,high_frequency + dispersion,أعقاب; اعقاب; تعقب; عقب; وعقب ...,
756,يَهُودِيّ,yahuwdiy~,My Jews.,noun_prop,noun: singular lemma,,T1,0.333,9.336,media,high_frequency + dispersion,اليهود; اليهودي; اليهودية; لليهود; واليهود ...,
757,سَيْطَرَة,sayoTarap,He'll control it.,noun,noun: singular lemma,سطر,T1,0.333,9.335,media,high_frequency + dispersion,السيطرة; بالسيطرة; بسيطرة; سيطرة; سيطرته ...,
758,ٱِعْتِقال,{iEotiqAl,Arrest.,noun,noun: singular lemma,عقل,T1,0.333,9.334,media,high_frequency + dispersion,إعتقال; اعتقال; اعتقالات; اعتقاله; اعتقالها ...,
759,سَقَط,saqaT,Fall.,verb,verb: 3ms past lemma,سقط,T1,0.333,9.331,media,high_frequency + dispersion,أسقط; تسقط; سقط; سقطت; سقطوا ...,
760,دائِرَة,dA}irap,A circle.,noun,noun: singular lemma,,T1,0.333,9.33,media,high_frequency + dispersion,الدائرة; الدوائر; دائرة; دائرته; دوائر ...,
761,تَأْكِيد,ta>okiyd,Sure.,noun,noun: singular lemma,,T1,0.333,9.329,media,high_frequency + dispersion,التأكيد; التأكيدات; التاكيد; بالتأكيد; بالتاكيد ...,
762,ٱِبْن,{ibon,Son!,noun_prop,noun: singular lemma,,T1,0.333,9.328,media,high_frequency + dispersion,أبن; إبن; ابن; ابنك; ابنه ...,
763,دِينِيّ,diyniy~,My debt.,adj,adj: masc singular lemma,,T1,0.333,9.327,media,high_frequency + dispersion,الدينى; الديني; الدينية; الدينيين; ديني ...,
764,ٱِتِّجاه,{it~ijAh,Direction,noun,noun: singular lemma,,T1,0.333,9.323,media,high_frequency + dispersion,إتجاه; اتجاه; اتجاها; اتجاهات; الإتجاه ...,
765,ثالِث,vAliv,Third,adj,adj: masc singular lemma,ثلث,T1,0.333,9.322,media,high_frequency + dispersion,الثالث; الثالثة; ثالث; ثالثا; ثالثاً ...,
766,حَجْم,Hajom,Size,noun,noun: singular lemma,حجم,T1,0.333,9.321,media,high_frequency + dispersion,الحجم; بحجم; حجم; حجما; حجمه ...,
767,ٱِتِّهام,{it~ihAm,Assault,noun,noun: singular lemma,,T1,0.333,9.32,media,high_frequency + dispersion,إتهام; إتهامات; اتهام; اتهاما; اتهامات ...,
768,دار,dAr,Dar.,noun,noun: singular lemma,,T1,0.333,9.318,media,high_frequency + dispersion,الدار; الديار; بالدار; تدور; دار ...,
769,شَخْصِيَّة,$axoSiy~ap,Personal.,noun,noun: singular lemma,شخص,T1,0.333,9.316,media,high_frequency + dispersion,الشخصيات; بشخصيات; شخصيات; شخصية; شخصيته ...,
770,لَعَلَّ,laEal~a,He did.,verb_pseudo,verb: 3ms past lemma,علل,T1,0.333,9.314,media,high_frequency + dispersion,فلعل; لعل; لعله; لعلها; ولعل ...,
771,حُسَيْن,Husayon,Well...,noun_prop,noun: singular lemma,حسن,T1,0.333,9.312,media,high_frequency + dispersion,الحسين; حسين; وحسين,
772,حُكُومِيّ,Hukuwmiy~,My government.,adj,adj: masc singular lemma,حكم,T1,0.333,9.311,media,high_frequency + dispersion,الحكومي; الحكومية; الحكوميه; الحكوميين; حكومي ...,
773,كُوَيْت,kuwayot,Cute.,noun_prop,noun: singular lemma,,T1,0.333,9.309,media,high_frequency + dispersion,الكويت; بالكويت; للكويت; والكويت,
774,دَلّ,dal~,Dig in.,verb,verb: 3ms past lemma,دلل,T1,0.333,9.306,media,high_frequency + dispersion,تدل; تدلل; دل; دلت; فيدل ...,
775,مالِكِيّ,mAlikiy~,My money.,noun,noun: singular lemma,ملك,T1,0.333,9.304,media,high_frequency + dispersion,المالكي; للمالكي; والمالكي,
776,خَلِيج,xaliyj,A blade.,noun,noun: singular lemma,خلج,T1,0.333,9.303,media,high_frequency + dispersion,الخليج; خليج; للخليج; والخليج; وخليج,
